@id	name	route	network
8149734	North 28th Street	road	
8149735	North 28th Street	road	
8149736	East Ironwood Drive	road	
8149880	North 28th Street	road	
8149881	East Turquoise Avenue	road	
8150291	North 27th Place	road	
8150381	North 27th Street	road	
8152769	North 23rd Street	road	
8156669	North 26th Place	road	
8194115	Tiyo Point Trail	hiking	lwn
8194116	Point Sublime Trail	hiking	lwn
8238036		bus	
8240966		bus	
8240967		bus	
8240968		bus	
8240969		bus	
8240970		bus	
8240971		bus	
8240972		bus	
8255948	Tuckup Trail	hiking	lwn
8260244	Nankoweap Trail #57	hiking	lwn
8261972	Walhalla Spur Trail	hiking	lwn
8262151	Ariel Point Trail	hiking	lwn
8264386	Havasupai Trail	hiking	lwn
8264405	Beaver Falls Trail	hiking	lwn
8264406	Havasu Canyon Trail	hiking	lwn
8288581	Hayduke Trail #12	hiking	rwn
8289504	Hayduke Trail #10	hiking	rwn
8290142	Hayduke Trail #11	hiking	rwn
8291996	Cathedral Wash	hiking	lwn
8307485	Hayduke Trail #9	hiking	rwn
8503489	AZ 989	road	
8503555	AZ 79	road	US:AZ
8507235		road	US:AZ:Maricopa
8534013		road	US:US
8633477	Schmutz Spring Trail	hiking	lwn
8633478	Brady Hollow Trail	hiking	lwn
8633490	Saddle Horse Loop	hiking	lwn
8634765	Spring Mountain Trail	hiking	lwn
8635912	East Rim Trail	hiking	lwn
8635913	North Canyon Trail	hiking	lwn
8643071	Navajo Trail #19	hiking	lwn
8643138	Great Western Trail - Arizona	hiking	nwn
8643363	Whitmore Trail	hiking	lwn
8643414	The Plateau Passage (Incomplete)	mtb	lcn
8643444	Liberty Bell Arch Trail	hiking	lwn
8643445	White Rock Canyon Trail	hiking	lwn
8643464	Jacob Canyon Route #35	hiking	lwn
8643505	Lower Lookout Canyon Trail #122	hiking	lwn
8643506	Middle Lookout Canyon Trail #121	hiking	lwn
8643507	Upper Lookout Canyon Trail #120	hiking	lwn
8647192	Gooseneck Trail #112	hiking	lwn
8647647	Ridge Trail	hiking	lwn
8647849	Snake Gulch Trail #59	hiking	lwn
8647850	Swapp Trail #50	hiking	lwn
8648069	Horse Spring Trail #137	hiking	lwn
8648070	Slide Canyon Trail #58	hiking	lwn
8648075	Slide Spring Trail #11	hiking	lwn
8648261	Tapeats Creek Trail	hiking	lwn
8648262	Hack Canyon Trail #28	hiking	lwn
8648263	Hack/Lawson Trail #110	hiking	lwn
8648264	Little Spring Trail #13	hiking	lwn
8652552	Powell Plateau Trail	hiking	lwn
8652771	Big Spring Lookout Trail #51	hiking	lwn
8652772	Brow Monument Trail #108	hiking	lwn
8653147	Ceballos Trail #109	hiking	lwn
8653172	Kai-Vav-Wi Nature Trail #34	hiking	lwn
8653277	Arizona Trail #3 Canelo Hills Wast	hiking	rwn
8658910	Crazy Jug Point #142	hiking	lwn
8659048	Shoshone Point Trail	hiking	lwn
8659304	Village Greenway	hiking	lwn
8664555	Residential Loop	hiking	lwn
8664556	Zuni Trail	hiking	lwn
8664937	Valley View Trail	hiking	
8671917	Sonoita Creek Trail	hiking	lwn
8676780	Saddle Canyon Trail	hiking	lwn
8677771	Monument Creek Trail	hiking	lwn
8677996	Triple Alcove Trail #27	hiking	lwn
8678208	Nankoweap Granary Trail	hiking	lwn
8681707	Vishnu Overlook Trail #125	hiking	lwn
8681742	Unkar Delta Loop	hiking	lwn
8687596	Nature Trail	hiking	lwn
8687614	Roosevelt Point Loop	hiking	lwn
8687619	Greenland Lake Trail	hiking	lwn
8688023	Roaring Springs Trail	hiking	lwn
8688515	Red Mountain Trail #159	hiking	lwn
8688609	Red Butte Trail #37	hiking	lwn
8695581	Slate Mountain Trail #128	hiking	lwn
8695611	O'Leary Trail	hiking	lwn
8696948	Connector Trail #80	hiking	lwn
8696949	Bull Basin Trail #40	hiking	lwn
8697772	Beale Wagon Road Historic Trail #61	hiking	rwn
8728081	Dr Martin Luther King Jr Boulevard	road	
8729958	Tempe Streetcar EB	tram	Valley Metro
8729959	Tempe Streetcar WB	tram	Valley Metro
8803549		railway	
8803552		railway	
9090208	AZ 303 Loop (South)	road	US:AZ:Loop
9097924	Nogales Subdivision	railway	
9097925	UP Phoenix Subdivision	railway	
9098101	"Tucson, Cornelia and Gila Bend Railroad"	railway	
9098102	Wellton Branch	railway	
9098103	San Manuel Arizona Railroad	railway	
9098104	Copper Basin Railway	railway	
9098105	Chandler Industrial Lead	railway	
9098106	Fennemore Spur	railway	
9098107	Coronado Subdivision	railway	
9098108	Snowflake Branch	railway	
9098109	Arizona Central Railroad	railway	
9098110	Grand Canyon Railway	railway	
9099249		railway	
9099314	Arizona Eastern Railway	railway	
9099462	Tempe Industrial Lead (Kyrene)	railway	
9101407	San Pedro Valley Railroad	railway	
9101408		railway	
9101409		railway	
9101410	El Paso and Southwestern Railroad	railway	
9113880	Springerville Railroad Spur	railway	
9114081	Darling/Winona Industrial Lead	railway	
9118481	Chandler Industrial Lead (abandoned)	railway	
9118513	Arizona Electric Power Company Spur	railway	
9118814	Wellton Branch (disused)	railway	
9118908	Sierrita Mine Spur	railway	
9118909	Twin Buttes Sahuarita Industrial Spur	railway	
9118928	Mission Mine spur	railway	
9118960	Morenci Mine Railroad	railway	
9119069	Camp Navajo Railroad	railway	
9119078	Magma Arizona Railroad	railway	
9119145	Salt River Spur	railway	
9119158	Cotpro Spur	railway	
9119160	Palo Verde Nuclear Generating Station Spur	railway	
9122731	Kingman Terminal Railroad	railway	
9123161		railway	
9123162	Daisy Mountain Railroad	railway	
9133248	Former US 80 (AZ 1977)	road	
9137569		railway	
9137637	Port of Tucson Railway	railway	
9230611	Historic U.S. Route 80	road	US:US:Historic
9277951	Sun Tran Route 10 Ruthrauff (northbound)	bus	Sun Tran
9277952	Sun Tran Route 10 Ruthrauff (southbound)	bus	Sun Tran
9331232	Flixbus 2201: Los Angeles => Tucson	bus	Flixbus
9338492	Black Canyon Trail	hiking	nwn
9380233	West Cardinals Way	road	
9426707	Safford-Morenci Trail	hiking	rcn
9465538	Ranger Trail	hiking	lwn
9465539	Bajada Trail	hiking	lwn
9465540	Alta Trail	hiking	lwn
9465541	National Trail	hiking	lwn
9465542	Mormon Loop Trail	hiking	lwn
9465543	Mormon Trail	hiking	lwn
9465545	Beverly Canyon Trail	hiking	lwn
9465546	Desert Classic Trail	hiking	lwn
9465547	Telegraph Pass Trail	hiking	lwn
9471469	Pyramid Trail	hiking	lwn
9471470	Bursera Trail	hiking	lwn
9471471	Kiwanis Trail	hiking	lwn
9471472	Las Lomitas Trail	hiking	lwn
9471473	Corona de Loma Trail	hiking	lwn
9471474	Hidden Valley Trail	hiking	lwn
9471475	Javelina Canyon Trail	hiking	lwn
9471477	Pima East Loop	hiking	lwn
9471478	Pima Wash Trail	hiking	lwn
9471479	Tondum Wihom Trail	hiking	lwn
9471480		hiking	
9471481	Ma Ha Tuak Trail	hiking	lwn
9480082	AZ 101 Loop (Clockwise)	road	US:AZ:Loop
